0024A382	VRWorkshops_mod_Legendary_Weapon_NERF	WEAP	peEnchantments	ADD	peEnchantments	VRWorkshopShared_ench_mod_LegendaryNerfPerk			0.00	Nerfed for VR attacks.	NONE	00000000
000B9A75	AAA_mod_TEMPLATE_LaserReceiver_Standard	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Standard.	NONE	00000000
000B9A75	AAA_mod_TEMPLATE_LaserReceiver_Standard	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_Standard			0.00	Standard.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	fweight	MUL+ADD	fweight	0.300		0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	iammocapacity	MUL+ADD	iammocapacity	0.100		0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	ivalue	MUL+ADD	ivalue	0.450		0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.750	00060A81		0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A74	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage3	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_MoreDamage3			0.00	Superior damage. Improved ammo capacity.	NONE	00000000
000B9A73	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage2	WEAP	fweight	MUL+ADD	fweight	0.200		0.00	Better damage.	NONE	00000000
000B9A73	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage2	WEAP	ivalue	MUL+ADD	ivalue	0.300		0.00	Better damage.	NONE	00000000
000B9A73	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage2	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.500	00060A81		0.00	Better damage.	NONE	00000000
000B9A73	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage2	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Better damage.	NONE	00000000
000B9A73	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_MoreDamage2			0.00	Better damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	fAimModelMaxConeDegrees	MUL+ADD	fAimModelMaxConeDegrees	-0.150		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	fAimModelMinConeDegrees	MUL+ADD	fAimModelMinConeDegrees	-0.150		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	fcriticaldamagemult	MUL+ADD	fcriticaldamagemult	2.000		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	fweight	MUL+ADD	fweight	0.300		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	iammocapacity	MUL+ADD	iammocapacity	0.300		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	ivalue	MUL+ADD	ivalue	0.350		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.250	00060A81		0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_MoreDamage1			0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A72	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_BetterCriticals2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_BetterCriticals2			0.00	Superior critical shot damage and ammo capacity. Better accuracy. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	fmaxrange	MUL+ADD	fmaxrange	0.200		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	fminrange	MUL+ADD	fminrange	0.200		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	fweight	MUL+ADD	fweight	0.300		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	iammocapacity	MUL+ADD	iammocapacity	0.300		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	ivalue	MUL+ADD	ivalue	0.400		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.250	00060A81		0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	peEnchantments	ADD	peEnchantments	enchMod_LaserReceiver_Fire2			0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_MoreDamage1			0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A71	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1_ArmorPiercing2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_ArmorPiercing2			0.00	Adds better burning damage. Superior ammo capacity. Better range. Improved damage.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	fspeed	MUL+ADD	fspeed	0.100		0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	iammocapacity	MUL+ADD	iammocapacity	-0.100		0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	ivalue	MUL+ADD	ivalue	0.150		0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.250	00060A81		0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A70	AAA_mod_TEMPLATE_LaserReceiver_MoreDamage1	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_MoreDamage1			0.00	Improved damage. Reduced ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	fAimModelMaxConeDegrees	MUL+ADD	fAimModelMaxConeDegrees	-0.150		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	fAimModelMinConeDegrees	MUL+ADD	fAimModelMinConeDegrees	-0.150		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	fcriticaldamagemult	MUL+ADD	fcriticaldamagemult	2.000		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	fweight	MUL+ADD	fweight	0.200		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	iammocapacity	MUL+ADD	iammocapacity	0.200		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	ivalue	MUL+ADD	ivalue	0.200		0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6F	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_BetterCriticals2			0.00	Superior critical shot damage. Better accuracy and ammo capacity.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	fAimModelMaxConeDegrees	MUL+ADD	fAimModelMaxConeDegrees	-0.100		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	fAimModelMinConeDegrees	MUL+ADD	fAimModelMinConeDegrees	-0.100		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	fcriticalchargebonus	MUL+ADD	fcriticalchargebonus	1.000		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	fcriticaldamagemult	MUL+ADD	fcriticaldamagemult	1.000		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	fweight	MUL+ADD	fweight	0.100		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	ivalue	MUL+ADD	ivalue	0.050		0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6E	AAA_mod_TEMPLATE_LaserReceiver_BetterCriticals1	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_BetterCriticals1			0.00	Improved critical shot damage and accuracy.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	fmaxrange	MUL+ADD	fmaxrange	0.200		0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	fminrange	MUL+ADD	fminrange	0.200		0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	fweight	MUL+ADD	fweight	0.200		0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	iammocapacity	MUL+ADD	iammocapacity	0.200		0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	ivalue	MUL+ADD	ivalue	0.250		0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	peEnchantments	ADD	peEnchantments	enchMod_LaserReceiver_Fire2			0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6D	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing2	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_ArmorPiercing2			0.00	Adds better burning damage. Better range and ammo capacity.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	fmaxrange	MUL+ADD	fmaxrange	0.100		0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	fminrange	MUL+ADD	fminrange	0.100		0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	fweight	MUL+ADD	fweight	0.100		0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	ivalue	MUL+ADD	ivalue	0.100		0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	peEnchantments	ADD	peEnchantments	enchMod_LaserReceiver_Fire1			0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	pkKeywords	ADD	pkKeywords	AnimsLaserReceiverStandard_OBSOLETE			0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6C	AAA_mod_TEMPLATE_LaserReceiver_ArmorPiercing1	WEAP	pkKeywords	ADD	pkKeywords	dn_HasReceiver_ArmorPiercing1			0.00	Adds burning damage. Improved range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelConeIronSightsMultiplier	SET	fAimModelConeIronSightsMultiplier	1.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelMaxConeDegrees	SET	fAimModelMaxConeDegrees	6.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelMinConeDegrees	SET	fAimModelMinConeDegrees	6.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelRecoilArcDeg	SET	fAimModelRecoilArcDeg	45.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelRecoilArcRotateDeg	SET	fAimModelRecoilArcRotateDeg	15.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelRecoilMaxDegPerShot	SET	fAimModelRecoilMaxDegPerShot	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fAimModelRecoilMinDegPerShot	SET	fAimModelRecoilMinDegPerShot	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	ppOverrideProjectile	SET	ppOverrideProjectile	LaserSmallBeamRed			0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fmaxrange	MUL+ADD	fmaxrange	-2.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fminrange	MUL+ADD	fminrange	-2.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fspeed	MUL+ADD	fspeed	-0.100		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	fweight	MUL+ADD	fweight	0.150		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	ivalue	MUL+ADD	ivalue	0.150		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	uNumProjectiles	MUL+ADD	uNumProjectiles	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.100	00060A81		0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	pkKeywords	ADD	pkKeywords	remapNode			0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	pkKeywords	ADD	pkKeywords	dn_HasMuzzleBeamSplitter			0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6B	AAA_mod_TEMPLATE_Muzzle_Splitter_B	WEAP	pkKeywords	ADD	pkKeywords	dn_HasMuzzleImproved			0.00	Splits beam into multiple projectiles covering a wider area. Reduced accuracy. Poor range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelConeIronSightsMultiplier	SET	fAimModelConeIronSightsMultiplier	1.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelMaxConeDegrees	SET	fAimModelMaxConeDegrees	8.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelMinConeDegrees	SET	fAimModelMinConeDegrees	8.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelRecoilArcDeg	SET	fAimModelRecoilArcDeg	45.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelRecoilArcRotateDeg	SET	fAimModelRecoilArcRotateDeg	15.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelRecoilMaxDegPerShot	SET	fAimModelRecoilMaxDegPerShot	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fAimModelRecoilMinDegPerShot	SET	fAimModelRecoilMinDegPerShot	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	ppOverrideProjectile	SET	ppOverrideProjectile	LaserSmallBeamRed			0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fmaxrange	MUL+ADD	fmaxrange	-2.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fminrange	MUL+ADD	fminrange	-2.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fspeed	MUL+ADD	fspeed	-0.100		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	fweight	MUL+ADD	fweight	0.150		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	ivalue	MUL+ADD	ivalue	0.100		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	uNumProjectiles	MUL+ADD	uNumProjectiles	4.000		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	vdDamageTypeValues	MUL+ADD	vdDamageTypeValues:dtEnergy	0.100	00060A81		0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	pkKeywords	ADD	pkKeywords	remapNode			0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A6A	AAA_mod_TEMPLATE_Muzzle_Splitter_A	WEAP	pkKeywords	ADD	pkKeywords	dn_HasMuzzleBeamSplitter			0.00	Splits beam into multiple projectiles covering a wider area. Poor accuracy and range.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	piImpactDataSet	SET	piImpactDataSet	LaserMusketImpactSet			0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	ppOverrideProjectile	SET	ppOverrideProjectile	LaserBeamFocusRed01			0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fAimModelMaxConeDegrees	MUL+ADD	fAimModelMaxConeDegrees	-0.300		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fAimModelMinConeDegrees	MUL+ADD	fAimModelMinConeDegrees	-0.300		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fAimModelRecoilMaxDegPerShot	MUL+ADD	fAimModelRecoilMaxDegPerShot	-0.150		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fAimModelRecoilMinDegPerShot	MUL+ADD	fAimModelRecoilMinDegPerShot	-0.150		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fmaxrange	MUL+ADD	fmaxrange	3.000		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fminrange	MUL+ADD	fminrange	3.000		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	fweight	MUL+ADD	fweight	0.200		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	ivalue	MUL+ADD	ivalue	0.250		0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	pkKeywords	ADD	pkKeywords	remapNode			0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	pkKeywords	ADD	pkKeywords	dn_HasMuzzleFocuser			0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A69	AAA_mod_TEMPLATE_Muzzle_Focuser_B	WEAP	pkKeywords	ADD	pkKeywords	dn_HasMuzzleImproved			0.00	Super range and accuracy. Better recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	piImpactDataSet	SET	piImpactDataSet	LaserMusketImpactSet			0.00	Better range, accuracy, and recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	ppOverrideProjectile	SET	ppOverrideProjectile	LaserBeamFocusRed01			0.00	Better range, accuracy, and recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	fAimModelMaxConeDegrees	MUL+ADD	fAimModelMaxConeDegrees	-0.200		0.00	Better range, accuracy, and recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	fAimModelMinConeDegrees	MUL+ADD	fAimModelMinConeDegrees	-0.200		0.00	Better range, accuracy, and recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	fAimModelRecoilMaxDegPerShot	MUL+ADD	fAimModelRecoilMaxDegPerShot	-0.150		0.00	Better range, accuracy, and recoil.	NONE	00000000
000B9A68	AAA_mod_TEMPLATE_Muzzle_Focuser_A	WEAP	fAimModelRecoilMinDegPerShot	MUL+ADD	fAimModelRecoilMinDegPerShot	-0.150		0.00	Better range, accuracy, and recoil.	NONE	00000000
